characters-href,Image-src,name,Nationality,Ethnicity,Age,Born,Died,Eye color,Hair color,Skin color,Gender,Love interest,Allies,Enemies,Weapon of choice,Fighting styles,Profession,Position,Predecessor,Successor,Affiliation,First appearance,Last appearance,Voiced by
"https://avatar.fandom.com/wiki/Youdron","","Youdron","Air Nomads","Air Nomads","Elderly (in c. 58 - 54 BG)","","","","","","Man","","Norri","","Air","","Monk","","","","Air Nomads","Avatar Legends: The Roleplaying Game - Core Book (only appearance)","",""
"https://avatar.fandom.com/wiki/Yingyong","","Yingyong","Air Nomads","Air Nomad","","","","","","","Male","","Jinpa","Yun","Air","","","","","","","""Past Lives""","",""
"https://avatar.fandom.com/wiki/Yangchen","https://static.wikia.nocookie.net/avatar/images/c/c6/Yangchen_cover_image.png/revision/latest?cb=20220324195813","Yangchen","Western Air Temple","Air Nomad","17 in The Dawn of Yangchen[2]","","345 BG[3][4]","Gray[6]","Brown","Light","Woman","","Jetsun","Shang merchants","The elements","","AvatarNun","Protector of Bin-Er, Jonduri, Port Tuugaq, and Taku","Szeto (as the Avatar)","Kuruk (as the Avatar)","","""The Avatar State"" (vision)","","Tress MacNeille"
"https://avatar.fandom.com/wiki/Ugyen","","Ugyen","Air Nomads","Air Nomads","","","","","","","Man","","","","Air","","Monk","","","","","Adventure Booklet 2: Fire & Brimstone (only appearance)","",""
"https://avatar.fandom.com/wiki/Tsering","","Tsering","Western Air Temple","Air Nomads","Old (during Avatar Yangchen's childhood)[1]","","","","","","Woman","","Dagmola","","Air","","LibrarianNun","","","","","""Voices of the Past""","",""
"https://avatar.fandom.com/wiki/Tashi","https://static.wikia.nocookie.net/avatar/images/3/35/Tashi.png/revision/latest?cb=20130714155745","Tashi","Southern Air Temple","Air Nomad","","","0 AG","","White (shaven)","","Man","","Pasang","Fire Nation","Air","","Monk","High Monk","","","Air Nomads","""The Southern Air Temple"" (flashback only)","","James Hong"
"https://avatar.fandom.com/wiki/Tang_Xu","","Tang Xu","Southern Air Temple","Air Nomad","","","","","","","Man","","","","Air","","Teacher","","","","","""Original Airbenders"" (mentioned only)","",""
"https://avatar.fandom.com/wiki/Sumati","","Sumati","Air Nomads","Air Nomads","","","","","","","Woman","","","","Air","","NunTechnologist","","","","","Adventure Booklet 2: Fire & Brimstone (only appearance)","",""
"https://avatar.fandom.com/wiki/Sonam","","Sonam","Northern Air Temple","Air Nomads","""Old"" in The Dawn of Yangchen","","","","White","","Man","","Avatar","Shang merchants","Air","","Monk","","","","Air Nomads","""The Northern Air Temple""","",""
"https://avatar.fandom.com/wiki/Sherab","","Sherab","Air Nomads","Air Nomads","","","","","","","Man","","Bo","","Air","","","","","","","Adventure Booklet 2: Fire & Brimstone (only appearance)","",""
