characters-href,Image-src,name,Nationality,Ethnicity,Age,Born,Died,Eye color,Hair color,Skin color,Gender,Love interest,Allies,Enemies,Weapon of choice,Fighting styles,Profession,Position,Predecessor,Successor,Affiliation,First appearance,Last appearance,Voiced by
"https://avatar.fandom.com/wiki/Ziming","","Ziming","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","","","Woman","","","","","","Detective","","","","","Avatar Legends: The Roleplaying Game - Core Book (only appearance)","",""
"https://avatar.fandom.com/wiki/Zhang_leader","https://static.wikia.nocookie.net/avatar/images/e/ef/Zhang_leader.png/revision/latest?cb=20130311211244","Zhang leader","Earth Kingdom","Zhang","","","","","Brown","","Woman","","Gan Jin","Fire Nation","Sword","","","","","","Zhang","""The Great Divide"" (only appearance)","","Roberta Farkas"
"https://avatar.fandom.com/wiki/Zhang_(Omashu_resident)","https://static.wikia.nocookie.net/avatar/images/a/a6/Zhang_in_Omashu.png/revision/latest?cb=20230329120715","","Earth Kingdom","","","","","Dark gray-brown","Black","Olive","Man","","Fan","","","","","","","","","Avatar: Generations (only appearance)","",""
"https://avatar.fandom.com/wiki/Zenko","https://static.wikia.nocookie.net/avatar/images/3/3a/Zenko.png/revision/latest?cb=20200125151247","Zenko","Maizu Village, Earth Kingdom","Earth Kingdom","","","","Black","Black","Dark brown","Man","His husband","Team Avatar","Fire Nation","","","","","","","","""Origami"" (only appearance)","",""
"https://avatar.fandom.com/wiki/Zei","https://static.wikia.nocookie.net/avatar/images/b/b0/Zei.png/revision/latest?cb=20140404204805","Zei","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","Brown","","Man","","Team Avatar","Fire Nation","","","Anthropology professor","","","","Ba Sing Se University","""The Library""","","Raphael Sbarge"
"https://avatar.fandom.com/wiki/Yuzhen_Sr.","","Yuzhen Sr.","Fire Nation colonies","","Old (in c. 102 AG)","","","","","","Man","","Sparrowkeet Air","Qian Yu","","","Businessman","","","","","Adventure Booklet 4: Air & Wind (only appearance)","",""
"https://avatar.fandom.com/wiki/Yuzhen_Jr.","","Yuzhen Jr.","Fire Nation colonies","","","","","","","","Man","","Sparrowkeet Air","","","","Businessman","","","","","Adventure Booklet 4: Air & Wind (only appearance)","",""
"https://avatar.fandom.com/wiki/Yuxuan","","Yuxuan","Fire Nation colonies","Earth Kingdom","Teenager (in c. 102 AG)","","","","","","Non-binary","","Taiki","","Stinkbombs, traps","","","","","","","Adventure Booklet 4: Air & Wind (only appearance)","",""
"https://avatar.fandom.com/wiki/Yung_(captain)","https://static.wikia.nocookie.net/avatar/images/6/62/Captain_Yung.png/revision/latest?cb=20130706142814","","Omashu, Earth Kingdom","Earth Kingdom","","","","","Black","","Man","","Team Avatar","Ukano","Earth","","Soldier","","","","","""Return to Omashu"" (only appearance)","","Fred Tatasciore"
"https://avatar.fandom.com/wiki/Yung","https://static.wikia.nocookie.net/avatar/images/7/73/Yung.png/revision/latest?cb=20210818190222","Yung","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","Black","","Man","","Kai","Dai Li","Air","","","","","","Air Nation","""The Earth Queen""","","Carlos Alazraqui"
"https://avatar.fandom.com/wiki/Yun","https://static.wikia.nocookie.net/avatar/images/5/57/Yun.png/revision/latest/scale-to-width-down/350?cb=20221109193335","Yun","Makapu Village, Earth Kingdom[4]","Earth Kingdom","16 in The Rise of Kyoshi[5]17 at death[6]","312 BG[7]","295 BG","Jade-green[8]","Brown[4]","Light[9]","Man","Kyoshi (formerly)","Kelsang","Jianzhu","Earth","","Avatar (formerly; falsely identified)","","","","Jianzhu (formerly)","""Nine Years Later""","",""
"https://avatar.fandom.com/wiki/Yuan","https://static.wikia.nocookie.net/avatar/images/a/a8/Yuan.png/revision/latest?cb=20220222200617","Yuan","Earth Kingdom","","","","","","","","Man","","Haru","Fire Nation","Earth","","","","","","","Avatar: The Last Airbender (video game) (only appearance)","",""
"https://avatar.fandom.com/wiki/Yu","https://static.wikia.nocookie.net/avatar/images/e/e2/Yu.png/revision/latest?cb=20140317211616","Yu","Gaoling, Earth Kingdom","Earth Kingdom","","","","","Black","","Man","","Lao Beifong","Toph Beifong","Earth","(Hung Gar kung fu)","Bounty hunterEarthbending instructor","Lao Beifong (client)","","","Gaoling","""The Blind Bandit""","","Sab Shimono"
"https://avatar.fandom.com/wiki/Yong","","Yong","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","","","Man","","Anti-Corruption Task Force","Daofei","Earth","","Soldier","","","","Military of the Earth Kingdom","Adventure Booklet 1: Earth & Root (only appearance)","",""
"https://avatar.fandom.com/wiki/Yingsu","","Yingsu","Kolau Mountain Range, Earth Kingdom[1]","Fire Nation, Earth Kingdom","","","","Golden","","","Woman","","Xiaoyun","Thapa","Fire","","","","","","Shang merchants (formerly)","""Last Chances""","",""
"https://avatar.fandom.com/wiki/Ying","https://static.wikia.nocookie.net/avatar/images/7/76/Ying.png/revision/latest?cb=20140413234455","Ying","Earth Kingdom","","","","","","Black","","Woman","Than (husband)","Team Avatar","Fire Nation","","","","","","","","""Zuko Alone""","","Kim Mai Guest"
"https://avatar.fandom.com/wiki/Yin","https://static.wikia.nocookie.net/avatar/images/f/f6/Yin.png/revision/latest?cb=20140730175657","Yin","Ba Sing Se, Earth Kingdom","Earth Kingdom","88 in Book Three: Change[1]91 in Book Four: Balance","83 AG","","Emerald green","Gray","Tan","Woman","Bohai (husband)[2]","Wu","Earth Empire","","","","","","","","""The Earth Queen""","","Susan Silo"
"https://avatar.fandom.com/wiki/Yi_Ming","","Yi Ming","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","","","Man","","Anti-Corruption Task Force","Daofei","","","","","","","","Adventure Booklet 1: Earth & Root (only appearance)","",""
"https://avatar.fandom.com/wiki/Yee-Li","https://static.wikia.nocookie.net/avatar/images/a/a9/Yee-Li.png/revision/latest?cb=20210603152903","Yee-Li","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","Brown","","Woman","","Aang","","","","","","","","Air Acolytes","The Promise Part Two","",""
"https://avatar.fandom.com/wiki/Yanran","","Yanran","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","","","","Man","","","","Earth","","AgentMinister","","","","","Adventure Booklet 3: Ash & Steel (only appearance)","",""
"https://avatar.fandom.com/wiki/Yaling","https://static.wikia.nocookie.net/avatar/images/4/40/Yaling.png/revision/latest?cb=20200418215316","Yaling","Ba Sing Se, Earth Kingdom","Earth Kingdom","","","","Green","Brown","Light","Woman","","Bending","Team Avatar","Earth","","","","","","","Imbalance Part One","",""
"https://avatar.fandom.com/wiki/Yahshi","https://static.wikia.nocookie.net/avatar/images/4/4b/Yahshi.png/revision/latest?cb=20200422222331","Yahshi","Earth Kingdom","","","","","","Gray","","Man","","Riley","","","","Talent scout","","","","","""New Recruits"" (only appearance)","",""
"https://avatar.fandom.com/wiki/Xu_Ping_An","","Xu Ping An","Earth Kingdom","Fire Nation","","","296 BG","","Dark[2]","Pale[2]","Man","","Mok","Earth Kingdom","Fire, lightning","","Daofei ""uncle""Rebel and spiritual leader","","","","","""The Raid""","",""
"https://avatar.fandom.com/wiki/Xinyi","","Xinyi","Earth Kingdom","Earth Kingdom","","","","","","","Man","","Nalu","","Earth","","","","","","","Adventure Booklet 3: Ash & Steel (only appearance)","",""
"https://avatar.fandom.com/wiki/Xing_Ying","https://static.wikia.nocookie.net/avatar/images/1/13/Xing_Ying.png/revision/latest?cb=20141225235825","Xing Ying","Yu Dao, Fire Nation colonies","","","","","","","","Woman","","Aang","","Staff","","","","","","Air Acolytes","The Promise Part Three","",""
"https://avatar.fandom.com/wiki/Xin_Fu","https://static.wikia.nocookie.net/avatar/images/0/02/Xin_Fu.png/revision/latest?cb=20140317211615","Xin Fu","Gaoling, Earth Kingdom","Earth Kingdom","","","","Gray","Black","","Man","","Lao Beifong","Toph Beifong","Earth","(Hung Gar kung fu)","Bounty hunterProfessional earthbending fighter (formerly)","","","","Earth Rumble","""The Blind Bandit""","","Marc Graue"
"https://avatar.fandom.com/wiki/Xiao","","Xiao","Earth Kingdom","Earth Kingdom","","","","","","","Non-binary","","Xinyi","","Unarmed","","","","","","","Adventure Booklet 3: Ash & Steel (only appearance)","",""
"https://avatar.fandom.com/wiki/Wu_(fortuneteller)","https://static.wikia.nocookie.net/avatar/images/c/c9/Aunt_Wu.png/revision/latest?cb=20130626124117","","Earth Kingdom","Earth Kingdom","","","","","Gray","","Woman","","Meng","Fire Nation","","","Fortuneteller","","","","","""The Fortuneteller""","","Tsai Chin"
