characters-href,Image-src,name,Nationality,Ethnicity,Age,Born,Died,Eye color,Hair color,Skin color,Gender,Love interest,Allies,Enemies,Weapon of choice,Fighting styles,Profession,Position,Predecessor,Successor,Affiliation,First appearance,Last appearance,Voiced by
"https://avatar.fandom.com/wiki/Zeebee","https://static.wikia.nocookie.net/avatar/images/f/f2/Zeebee.png/revision/latest?cb=20230512184710","Zeebee","Northern Water Tribe","Water Tribe","","","","Blue","Dark","Brown","Woman","","Zeisan","","Water","","Noblewoman (formerly)Outlaw","","","","","An Urgent Request (only appearance)","",""
"https://avatar.fandom.com/wiki/Yuki","","Yuki","Southern Water Tribe","Water Tribe","","","","","","","Woman","","Yulan","","","","Corporate worker (formerly)Inventor","","","","","Avatar Legends: The Roleplaying Game - Republic City (only appearance)","",""
"https://avatar.fandom.com/wiki/Yue","https://static.wikia.nocookie.net/avatar/images/9/9d/Kind_Yue.png/revision/latest?cb=20140122221734","Yue","Agna Qel'a, Northern Water Tribe","Water Tribe","16 (deceased; became the Moon Spirit)","84 AG","100 AG (reincarnated as the Moon Spirit)","Blue","White (originally black)","Tan","Woman","Hahn (arranged betrothal)Sokka (boyfriend)","Tui","Fire Nation","Water","(posthumously, as the Moon Spirit)","","Tribal Chief's advisor (formerly)","","","Spirit World","""The Waterbending Master""","","Johanna Braddy"
"https://avatar.fandom.com/wiki/Yakone%27s_wife","https://static.wikia.nocookie.net/avatar/images/2/2f/Yakone%27s_wife.png/revision/latest?cb=20121108092320","Yakone's wife","Northern Water Tribe","Water Tribe","","","","Violet","Brown","","Woman","Yakone (husband)","","","","","","","","","","""Skeletons in the Closet"" (flashback only) (only appearance)","",""
"https://avatar.fandom.com/wiki/Yakone","https://static.wikia.nocookie.net/avatar/images/0/0c/Yakone_smirking.png/revision/latest?cb=20120611191427","Yakone","Republic City, United Republic; Northern Water Tribe","Water Tribe","","","","Steel blue","Gray (before plastic surgery and in old age)[2][3]Brown (after plastic surgery)[3]","Tan","Man","His wife","","Noatak","Water (formerly)","(formerly)","Bloodbending instructorCriminal (formerly)Waterbending instructor","Waterbending instructor","","","","""The Voice in the Night"" (vision)","","Clancy Brown"
"https://avatar.fandom.com/wiki/Yagoda","https://static.wikia.nocookie.net/avatar/images/5/5b/Yagoda.png/revision/latest?cb=20140119144821","Yagoda","Agna Qel'a, Northern Water Tribe","Water Tribe","80 in Avatar: The Last Airbender[2]","19 AG","","","Gray (brown in youth)","","Woman","","Katara","Fire Nation","Water","","Healing instructor","","","","","""The Waterbending Master""","","Lucille Bliss"
"https://avatar.fandom.com/wiki/White_Lotus_leader","https://static.wikia.nocookie.net/avatar/images/b/b5/White_Lotus_leader.png/revision/latest?cb=20150313221208","White Lotus leader","Water Tribe","Water Tribe","","","","","GrayBrown (in younger years)","","Man","","Tenzin","","Water","","Order of the White Lotus member","","","","","""Welcome to Republic City""","","Stephen Root"
"https://avatar.fandom.com/wiki/Wei_(waterbender)","https://static.wikia.nocookie.net/avatar/images/3/30/Wei.png/revision/latest?cb=20220220134948","","Northern Water Tribe","","80's","","","","Gray","","Man","","Team Avatar","Zhao","Water","","Waterbending instructor","","","","","Avatar: The Last Airbender (video game) (only appearance)","",""
"https://avatar.fandom.com/wiki/Wakkanai","","Wakkanai","Southern Water Tribe","Water Tribe","","","","","","","Woman","","Varrick","","","","Business magnateInventor","","","","","Adventure Booklet 5: Water & Mist (only appearance)","",""
"https://avatar.fandom.com/wiki/Visola","https://static.wikia.nocookie.net/avatar/images/3/33/Visola.png/revision/latest?cb=20200422222626","Visola","","Water Tribe","","","","","Black","","Woman","","Analay","","Water","","Inventor, weapons specialist","","","","Unnamed team","""New Recruits"" (only appearance)","",""
