List-href,Name,Nationality,Ethnicity,Age,Gender,Born,Died,Eye color,Hair color,Skin color,Love interest,Allies,Enemies,Weapon of choice,Fighting styles,Profession,Position,Predecessor,Successor,Affiliation,First appearance,Last appearance,Voiced by
"https://avatar.fandom.com/wiki/Zeebee","Zeebee","","","","Woman","","","Blue","Dark","Brown","","Zeisan, Nyanchi, Ezra, Boin","","Water","Waterbending","Noblewoman (formerly)Outlaw","High-class Northern Water Tribe citizen (formerly)","","","","An Urgent Request (only appearance)","",""
"https://avatar.fandom.com/wiki/Yuki","Yuki","","","","Woman","","","","","","","Yulan","","","","Corporate worker (formerly)Inventor","Lower class United Republic resident","","","Cabbage Corp (formerly)","Avatar Legends: The Roleplaying Game - Republic City (only appearance)","",""
"https://avatar.fandom.com/wiki/Yue","Yue","","","","Woman","84 AG","100 AG (reincarnated as the Moon Spirit)","Blue","White (originally black)","Tan","Hahn (arranged betrothal)Sokka (boyfriend)","Tui, La, Northern Water Tribe, Team Avatar, Iroh","Fire Nation, Zhao","Water","Waterbending (posthumously, as the Moon Spirit)","","Moon SpiritPrincess of the Northern Water Tribe (formerly)Tribal Chief's advisor (formerly)","","","Spirit WorldWater Tribe","""The Waterbending Master""","Avatar: Generations","Johanna Braddy"
"https://avatar.fandom.com/wiki/Yakone%27s_wife","Yakone's wife","","","","Woman","","","Violet","Brown","","Yakone (husband)","Northern Water Tribe","","","","","","","","Water Tribe","""Skeletons in the Closet"" (flashback only) (only appearance)","",""
"https://avatar.fandom.com/wiki/Yakone","Yakone","","","","Man","","","Steel blue","Gray (before plastic surgery and in old age)[2][3]Brown (after plastic surgery)[3]","Tan","His wife","His criminal gang","Noatak, Team Avatar, Metalbending Police Force, United Republic Council, more ...","Water (formerly)","Waterbending (formerly), bloodbending (formerly)","Bloodbending instructorCriminal (formerly)Waterbending instructor","Bloodbending master (formerly)Crime lord (formerly)Northern Water Tribe citizenUnited Republic fugitive (formerly)United Republic prisoner (escaped)Upper-class United Republic citizen (formerly)Waterbending master (formerly)","","","","""The Voice in the Night"" (vision)","""Skeletons in the Closet"" (flashback only)","Clancy Brown"
"https://avatar.fandom.com/wiki/Yagoda","Yagoda","","","","Woman","19 AG","","","Gray (brown in youth)","","","Katara, Kanna, Northern Water Tribe","Fire Nation","Water","","Healing instructor","Master healer","","","Northern Water Tribe","""The Waterbending Master""","""The Siege of the North, Part 2"" (flashback only)","Lucille Bliss"
"https://avatar.fandom.com/wiki/White_Lotus_leader","White Lotus leader","","","","Man","","","","GrayBrown (in younger years)","","","Tenzin, Aang, Korra, Katara, Yim, Order of the White Lotus","","Water","Waterbending","Order of the White Lotus member","Leader of the Order of the White Lotus","","","Order of the White Lotus","""Welcome to Republic City""","""Weaver's Ball""","Stephen Root"
"https://avatar.fandom.com/wiki/Wei_(waterbender)","Master Wei","","","","Man","","","","Gray","","","Team Avatar, Water Tribe, Hiryu","Zhao, Zuko, Fire Nation","Water","Waterbending","Waterbending instructor","Waterbending master","","","Northern Water Tribe","Avatar: The Last Airbender (video game) (only appearance)","",""
"https://avatar.fandom.com/wiki/Wakkanai","Wakkanai","","","","Woman","","","","","","","Varrick, Gajii","","","","Business magnateInventor","","","","","Adventure Booklet 5: Water & Mist (only appearance)","",""
"https://avatar.fandom.com/wiki/Visola","Visola","","","","Woman","","","","Black","","","Analay, Hiroshi, Riley, Genji, Yahshi, Team Avatar","","Water","Waterbending","Inventor, weapons specialist","","","","Unnamed teamWater Tribe","""New Recruits"" (only appearance)","",""
